global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Rand,Rank,Train
35QeWibpT4DfyH3NIf2oj8,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.999424282427661,1,1
1byTDaqS91rBnWJlv$n__m,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.997121405487093,2,1
1byTDaqS91rBnWJlv$nn3d,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.986749385933679,3,1
27tsNyngD908ZF6_DqzQuC,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,0.984019849254188,4,1
1byTDaqS91rBnWJlv$n$Um,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.979720615799495,5,1
35QeWibpT4DfyH3NIf2o3Q,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.977216516837543,6,1
35QeWibpT4DfyH3NIf2npj,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.9722019102076,7,1
1hKPrj_5TAsgq4jTLqsBdP,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.969116256520065,8,1
35QeWibpT4DfyH3NIf2mPA,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.966641752459385,9,1
0tIhQ6hmz02e5gznEed7$9,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.966101099687361,10,1
1byTDaqS91rBnWJlv$nmg3,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.962181558287636,11,1
35QeWibpT4DfyH3NIf2o1m,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.955724859530375,12,1
1byTDaqS91rBnWJlv$nm10,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.955348164658307,13,1
1byTDaqS91rBnWJlv$nmeL,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.955126411827485,14,1
1bPpW80Z12EOilKhiMM4WW,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.952646080800658,15,1
1byTDaqS91rBnWJlv$nmIS,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.950176608250347,16,1
0mxk1RW8H5mvX1dNnpRqso,IfcDoor,1.267,0.517,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,0.947322129097949,17,1
0INGoQzzLEDgz2y8pq7HJD,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,0.946932810959215,18,1
1RsnZGkdD24gP_Mn_xjUTL,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.944930319965044,19,1
1byTDaqS91rBnWJlv$n$t9,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.944263689026209,20,1
1byTDaqS91rBnWJlv$nnMl,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.940244463599507,21,1
35QeWibpT4DfyH3NIf2mOF,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.93998323500509,22,1
1byTDaqS91rBnWJlv$n$M9,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.93601285170857,23,1
35QeWibpT4DfyH3NIf2ngM,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.933654445432073,24,1
0QOZ2tbwPA7OVtQXbgDBvb,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.93332534784361,25,1
1byTDaqS91rBnWJlv$nmHr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.931281551836613,26,1
1rwkKnKer8cxMGFEaL_UVm,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.930228123054308,27,1
1byTDaqS91rBnWJlv$n$fc,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.927773812472981,28,1
0ztdC3L1HAzhbhMHypqcYf,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.925697244945039,29,1
35QeWibpT4DfyH3NIf2oEe,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.923929661837243,30,1
2dfMMV62T2AedyzVxppix_,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.918352350410095,31,1
1byTDaqS91rBnWJlv$nnj_,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.916780611130618,32,1
2OBrcmyk58NupXoVOHUuXp,IfcDoor,1.216,0.374,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,0.915373507869466,33,2
1byTDaqS91rBnWJlv$nmeg,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.912932915077102,34,2
35QeWibpT4DfyH3NIf2nrl,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.91161367400636,35,2
35QeWibpT4DfyH3NIf2nMH,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.909606443347106,36,2
