global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Outlier
1byTDaqS91rBnWJlv$n$M9,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nnHw,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2sGN,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$jF,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nDz,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmAj,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0vXoO5Zpv3Mx5AM3AH5omQ,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,1
35QeWibpT4DfyH3NIf2nuL,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmwJ,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
2OBrcmyk58NupXoVOHUvPL,IfcDoor,0.374,1.216,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,1
1byTDaqS91rBnWJlv$nnMl,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
2CiKYfhMH7XAaCZdiBlh1x,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,1
2b9an2$8n5XB5eK3hCqj$A,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,1
1byTDaqS91rBnWJlv$n$0M,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$nD,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
