,nu,gamma,F2 score,Accuracy,TNR
0,0.1,0.1,0.847953216374,0.87619047619,1
0,0.1,0.2,0.266666666667,0.47619047619,1
0,0.1,0.3,0.683890577508,0.752380952381,1
0,0.1,0.4,0.344262295082,0.52380952381,1
0,0.1,0.5,0.722891566265,0.780952380952,1
0,0.1,0.6,0.683890577508,0.752380952381,1
0,0.1,0.7,0.65749235474,0.733333333333,1
0,0.1,0.8,0.344262295082,0.52380952381,1
0,0.1,0.9,0.434083601286,0.580952380952,1
0,0.2,0.1,0.8357771261,0.866666666667,1
0,0.2,0.2,0.872093023256,0.895238095238,1
0,0.2,0.3,0.298013245033,0.495238095238,1
0,0.2,0.4,0.41935483871,0.571428571429,1
0,0.2,0.5,0.282392026578,0.485714285714,1
0,0.2,0.6,0.492063492063,0.619047619048,1
0,0.2,0.7,0.282392026578,0.485714285714,1
0,0.2,0.8,0.313531353135,0.504761904762,1
0,0.2,0.9,0.328947368421,0.514285714286,1
0,0.3,0.1,0.38961038961,0.552380952381,1
0,0.3,0.2,0.630769230769,0.714285714286,1
0,0.3,0.3,0.8357771261,0.866666666667,1
0,0.3,0.4,0.617283950617,0.704761904762,1
0,0.3,0.5,0.786350148368,0.828571428571,1
0,0.3,0.6,0.798816568047,0.838095238095,1
0,0.3,0.7,0.404530744337,0.561904761905,1
0,0.3,0.8,0.374592833876,0.542857142857,1
0,0.3,0.9,0.798816568047,0.838095238095,1
0,0.4,0.1,0.670731707317,0.742857142857,1
0,0.4,0.2,0.5625,0.666666666667,1
0,0.4,0.3,0.5625,0.666666666667,1
0,0.4,0.4,0.65749235474,0.733333333333,1
0,0.4,0.5,0.69696969697,0.761904761905,1
0,0.4,0.6,0.722891566265,0.780952380952,1
0,0.4,0.7,0.374592833876,0.542857142857,1
0,0.4,0.8,0.404530744337,0.561904761905,1
0,0.4,0.9,0.250836120401,0.466666666667,1
0,0.5,0.1,0.250836120401,0.466666666667,1
0,0.5,0.2,0.234899328859,0.457142857143,1
0,0.5,0.3,0.65749235474,0.733333333333,1
0,0.5,0.4,0.65749235474,0.733333333333,1
0,0.5,0.5,0.0175438596491,0.333333333333,1
0,0.5,0.6,0.65749235474,0.733333333333,1
0,0.5,0.7,0.65749235474,0.733333333333,1
0,0.5,0.8,0.65749235474,0.733333333333,1
0,0.5,0.9,0.0175438596491,0.333333333333,1
0,0.6,0.1,0.65749235474,0.733333333333,1
0,0.6,0.2,0.0175438596491,0.333333333333,1
0,0.6,0.3,0.0175438596491,0.333333333333,1
0,0.6,0.4,0.65749235474,0.733333333333,1
0,0.6,0.5,0.0175438596491,0.333333333333,1
0,0.6,0.6,0.65749235474,0.733333333333,1
0,0.6,0.7,0.65749235474,0.733333333333,1
0,0.6,0.8,0.65749235474,0.733333333333,1
0,0.6,0.9,0.0175438596491,0.333333333333,1
0,0.7,0.1,0.65749235474,0.733333333333,1
0,0.7,0.2,0.0175438596491,0.333333333333,1
0,0.7,0.3,0.0175438596491,0.333333333333,1
0,0.7,0.4,0.65749235474,0.733333333333,1
0,0.7,0.5,0.0175438596491,0.333333333333,1
0,0.7,0.6,0.65749235474,0.733333333333,1
0,0.7,0.7,0.65749235474,0.733333333333,1
0,0.7,0.8,0.65749235474,0.733333333333,1
0,0.7,0.9,0.0175438596491,0.333333333333,1
0,0.8,0.1,0.65749235474,0.733333333333,1
0,0.8,0.2,0.0175438596491,0.333333333333,1
0,0.8,0.3,0.0175438596491,0.333333333333,1
0,0.8,0.4,0.65749235474,0.733333333333,1
0,0.8,0.5,0.0175438596491,0.333333333333,1
0,0.8,0.6,0.65749235474,0.733333333333,1
0,0.8,0.7,0.65749235474,0.733333333333,1
0,0.8,0.8,0.65749235474,0.733333333333,1
0,0.8,0.9,0.0175438596491,0.333333333333,1
0,0.9,0.1,0.65749235474,0.733333333333,1
0,0.9,0.2,0.0175438596491,0.333333333333,1
0,0.9,0.3,0.0175438596491,0.333333333333,1
0,0.9,0.4,0.65749235474,0.733333333333,1
0,0.9,0.5,0.0175438596491,0.333333333333,1
0,0.9,0.6,0.65749235474,0.733333333333,1
0,0.9,0.7,0.65749235474,0.733333333333,1
0,0.9,0.8,0.65749235474,0.733333333333,1
0,0.9,0.9,0.234899328859,0.457142857143,1
