X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Rand,Rank,Train
2.875000791,5.339998436,5.883905313,11.3332013,149.7353265,27.26035245,3NhaIUfh12PAdrGa$S3__F,2.06328773,IfcRailing,0.075688226,0.460279836854283,16,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,1sq3ZCKcn6Q9Qy3oJcjS6Q,0.82537973,IfcRailing,0.013959764,0.99934264097846,1,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,2yD66Bokr0jRIU3nebolJC,0.82537973,IfcRailing,0.013959764,0.280327136755423,22,Train
1.310086924,6.445574555,1.299999663,4.63317063,31.9054418,11.85421231,0bpfxAz3XBrAx$RjFuHwvy,1.721417577,IfcRailing,0.145215686,0.360427318173408,19,Train
2.385,0.4175,1.1175,2.227782366,159.5859627,59.08696836,3w9$CvKpv0dhLlXd16X1xQ,0.82484013,IfcRailing,0.013959764,0.345307440284787,20,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,2sYQ3wpfX8eQVzo8SbwlxD,0.82537973,IfcRailing,0.013959764,0.706193770250378,11,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,3zJdAHxef7TALi7pssIWZx,0.82537973,IfcRailing,0.013959764,0.0117157983626364,33,Train
0.29,4.005000375,4.151546488,7.417076328,150.9571767,22.10100927,0wkEuT1wr1kOyafLY4v_PH,1.085903143,IfcRailing,0.049133645,0.0461703991096096,32,Train
5.339999866,2.57600043,5.870000076,11.08764258,149.7722946,26.70529976,0mxk1RW8H5mvX1dNnpRq2e,1.976993272,IfcRailing,0.074029997,0.374380670663842,18,Train
2.6100017,5.339997959,5.870000076,11.09220932,149.7337057,26.80224246,0mxk1RW8H5mvX1dNnpRqEm,1.985498738,IfcRailing,0.074079575,0.962808050196302,2,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,1nYv6J5nPBrPLaXl8sUO7s,0.82537973,IfcRailing,0.013959764,0.0724654365332951,30,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0mStS$juH0$wi3dHqZrUgd,0.82537973,IfcRailing,0.013959764,0.105963520938869,28,Train
1.746,3.982501922,5.883905313,8.542079137,150.2887062,23.06791569,3NhaIUfh12PAdrGa$S3__B,1.311129535,IfcRailing,0.056837798,0.884020368383896,7,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,2uwjZWb$56Dv$G_4Myi2RD,0.82537973,IfcRailing,0.013959764,0.414271599133418,17,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,3w1$SS5sbA_8NkDoDBJkNw,0.82537973,IfcRailing,0.013959764,0.283688607375447,21,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0bxuYU3vbDUwnCCSeCFbMl,0.82537973,IfcRailing,0.013959764,0.279301150371424,23,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,13UvdNNU9A$vAHyJKoeOLC,0.82537973,IfcRailing,0.013959764,0.640621179228971,12,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0QhUJyYVf6kv6QGMf6oO99,0.82537973,IfcRailing,0.013959764,0.921837019534909,5,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,17EsVZ1aP6LhBbb$qVMGSf,0.82537973,IfcRailing,0.013959764,0.890114657017468,6,Train
2.385,0.425,1.1175,2.224077552,159.6317642,59.17607663,1ebtU0g4fAwx_7wUW5_nPd,0.824473652,IfcRailing,0.01393255,0.844177608135843,8,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,297XluJ5TBZ9MDdav8AJdt,0.82537973,IfcRailing,0.013959764,0.0962336486647275,29,Train
1.464999008,3.910001422,5.870000076,7.953753088,150.830497,23.4096579,0mxk1RW8H5mvX1dNnpRqEq,1.234462807,IfcRailing,0.052733056,0.195751552413778,25,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,3otxB_Cqf9RewWFNuf574U,0.82537973,IfcRailing,0.013959764,0.924208182902966,4,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0qOY75ijvFsR_umkpK6Led,0.82537973,IfcRailing,0.013959764,0.824254571585272,9,Train
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0BsfPMIFH8Zv_Ow$15bzvY,0.82537973,IfcRailing,0.013959764,0.466468541719455,15,Train
0.24,3.950000308,3.156856246,0.597546335,102.3497274,184.7173013,0wkEuT1wr1kOyafLY4v_PL,1.078431269,IfcRailing,0.00583828,0.938506935666113,3,Train
0.290000031,4.004999605,4.151546488,7.417078872,150.9571586,22.1010072,21ldoMpbP4VfsJ0XGY_335,1.085903544,IfcRailing,0.049133668,0.175642607619472,26,Test
3.88,1.481000166,5.898248863,8.043906919,150.5244419,23.16447421,0mxk1RW8H5mvX1dNnpRq2q,1.237891149,IfcRailing,0.053439208,0.494784286782815,14,Test
0.243295688,1.824,1.301647844,1.215042375,172.6915521,70.85715466,3qpE7fVkr8dRZ2wfCc6rOU,0.498544627,IfcRailing,0.007035911,0.273169626832932,24,Test
0.24,3.95000024,3.156856246,0.597544656,102.3498206,184.7181258,21ldoMpbP4VfsJ0XGY_34P,1.07843207,IfcRailing,0.005838258,0.60507655683633,13,Test
2.385081205,0.435081585,1.1175,2.22593433,159.6087923,59.15087901,22lekKWcTBXw2QT1AUf$4c,0.824929318,IfcRailing,0.013946189,0.0692674250131807,31,Test
1.307818419,6.366772285,1.299999663,4.62377141,32.20018009,11.86340225,0bpfxAz3XBrAx$RjFuHwqx,1.703520291,IfcRailing,0.143594582,0.815294471677125,10,Test
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0R38q9BnzFLed52g6e80mJ,0.82537973,IfcRailing,0.013959764,0.147684300317805,27,Test
