X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Outlier
2.45,0.45,0.3,1.625,28.88888889,11.61806455,1pSxEG2rr6zgoLYoEvbIzF,0.653516131,IfcSlab,0.05625,1
8.166,9.508,0.219,95.097116,106.1531276,3.706565269,2OBrcmyk58NupXoVOHUtxr,3.320520792,IfcSlab,0.895848461,1
2.7,2.2,0.3,10.9,21.8,1.848422751,3uJysHX9XAfg$97uAC4lIQ,0.924211376,IfcSlab,0.5,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,3dj1AkCib0yB5EZit13Oks,0.653516131,IfcSlab,0.05625,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,0NPxCUGN565g2LZ_Pp47uq,0.653516131,IfcSlab,0.05625,1
8.166,17.166,0.657,292.4973656,4.814993499,0.089497079,3ThA22djr8AQQ9eQMA5s7I,5.436696799,IfcSlab,60.74719844,1
3.908,17.166,0.505,131.7123592,7.291084981,0.284714526,1hOSvn6df7F8_7GcBWlRqU,5.143325308,IfcSlab,18.06485037,1
3.11,1.805433716,0.428707972,10.68808128,15.26849833,1.369832005,1hZeF0nAz4JBDqRWYr$yqv,0.958894286,IfcSlab,0.700008674,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524375,0LSkmVeEz8$OhFjqm4WfI0,2.922131401,IfcSlab,8.97669,1
1.21,0.6,0.3,1.09,26.98019802,7.762246265,1M9GtOTmb0y9zzrbwAaiAe,0.313594749,IfcSlab,0.0404,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,1Q7vSN7v15bQzJ_Iw0KiPz,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524375,14C1RhPQ92nQUKvdg5fGjj,2.922131401,IfcSlab,8.97669,1
2.7,2.2,0.3,10.9,21.8,1.848422751,2d$nQUVtH5i8ulOgXV26ZM,0.924211376,IfcSlab,0.5,1
2.7,2.2,0.3,10.9,21.8,1.848422751,0jl_xsV_P4OeVQgFrvx2T3,0.924211376,IfcSlab,0.5,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,3UYqhMg6zElQO64rLnewgQ,0.653516131,IfcSlab,0.05625,1
6,4.582734,0.35,53.8945346,14.13449708,0.55037761,1CZILmCaHETO8tf3SgGEWh,2.098578037,IfcSlab,3.81297858,1
6,4.582734,0.35,53.8945346,14.13449708,0.55037761,1CZILmCaHETO8tf3SgGEXu,2.098578037,IfcSlab,3.81297858,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,1GiWsHhUr5HBFMl4ObzVRK,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.45,114.6685,8.54611006,0.222993664,0xUp88Fb99vAaphf3pNOo1,2.992045357,IfcSlab,13.417625,1
1.656,2.371,0.213,6.416254,156.1410147,18.36352969,2OBrcmyk58NupXoVOHUtjR,0.754606796,IfcSlab,0.041092688,1
7.675,7.38,0.61,119.3581,5.424158841,0.135971746,0TDye8xYn3kgd3hFqcneWJ,2.992045357,IfcSlab,22.004905,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,3kVpB8D6LAugzJ0n2a1pgt,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524467,3JkilHr2v6B8GAqSNNVI_y,2.922132226,IfcSlab,8.97669,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,1q9AkVbyP2uP25bC45SS$F,0.653516131,IfcSlab,0.05625,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,3e5mSJfjT17voTzvz0RG3D,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524375,0lkGbfCQn2k97dXiG8ko7K,2.922131401,IfcSlab,8.97669,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,0g1b9wDNrC8hsUyxxEzcH7,0.653516131,IfcSlab,0.05625,1
