,nu,gamma,F2 score,Accuracy,TNR
0,0.1,0.1,0.405405405405,0.9938786867,1.0
0,0.1,0.2,0.342465753425,0.993322203673,1.0
0,0.1,0.3,0.405405405405,0.9938786867,1.0
0,0.1,0.4,0.0724637681159,0.991096271564,1.0
0,0.1,0.5,0.75,0.997217584864,1.0
0,0.1,0.6,0.696202531646,0.996661101836,1.0
0,0.1,0.7,0.696202531646,0.996661101836,1.0
0,0.1,0.8,0.696202531646,0.996661101836,1.0
0,0.1,0.9,0.696202531646,0.996661101836,1.0
0,0.2,0.1,0.584415584416,0.995548135782,1.0
0,0.2,0.2,0.466666666667,0.994435169727,1.0
0,0.2,0.3,0.584415584416,0.995548135782,1.0
0,0.2,0.4,0.142857142857,0.991652754591,1.0
0,0.2,0.5,0.342465753425,0.993322203673,1.0
0,0.2,0.6,0.696202531646,0.996661101836,1.0
0,0.2,0.7,0.696202531646,0.996661101836,1.0
0,0.2,0.8,0.75,0.997217584864,1.0
0,0.2,0.9,0.526315789474,0.994991652755,1.0
0,0.3,0.1,0.342465753425,0.993322203673,1.0
0,0.3,0.2,0.342465753425,0.993322203673,1.0
0,0.3,0.3,0.466666666667,0.994435169727,1.0
0,0.3,0.4,0.641025641026,0.996104618809,1.0
0,0.3,0.5,0.342465753425,0.993322203673,1.0
0,0.3,0.6,0.211267605634,0.992209237618,1.0
0,0.3,0.7,0.142857142857,0.991652754591,1.0
0,0.3,0.8,0.342465753425,0.993322203673,1.0
0,0.3,0.9,0.342465753425,0.993322203673,1.0
0,0.4,0.1,0.405405405405,0.9938786867,1.0
0,0.4,0.2,0.277777777778,0.992765720646,1.0
0,0.4,0.3,0.342465753425,0.993322203673,1.0
0,0.4,0.4,0.405405405405,0.9938786867,1.0
0,0.4,0.5,0.342465753425,0.993322203673,1.0
0,0.4,0.6,0.526315789474,0.994991652755,1.0
0,0.4,0.7,0.584415584416,0.995548135782,1.0
0,0.4,0.8,0.584415584416,0.995548135782,1.0
0,0.4,0.9,0.584415584416,0.995548135782,1.0
0,0.5,0.1,0.277777777778,0.992765720646,1.0
0,0.5,0.2,0.277777777778,0.992765720646,1.0
0,0.5,0.3,0.405405405405,0.9938786867,1.0
0,0.5,0.4,0.405405405405,0.9938786867,1.0
0,0.5,0.5,0.0724637681159,0.991096271564,1.0
0,0.5,0.6,0.526315789474,0.994991652755,1.0
0,0.5,0.7,0.405405405405,0.9938786867,1.0
0,0.5,0.8,0.277777777778,0.992765720646,1.0
0,0.5,0.9,0.277777777778,0.992765720646,1.0
0,0.6,0.1,0.277777777778,0.992765720646,1.0
0,0.6,0.2,0.277777777778,0.992765720646,1.0
0,0.6,0.3,0.0724637681159,0.991096271564,1.0
0,0.6,0.4,0.0724637681159,0.991096271564,1.0
0,0.6,0.5,0.0724637681159,0.991096271564,1.0
0,0.6,0.6,0.277777777778,0.992765720646,1.0
0,0.6,0.7,0.277777777778,0.992765720646,1.0
0,0.6,0.8,0.0,0.990539788536,1.0
0,0.6,0.9,0.0724637681159,0.991096271564,1.0
0,0.7,0.1,0.0,0.990539788536,1.0
0,0.7,0.2,0.0,0.990539788536,1.0
0,0.7,0.3,0.0,0.990539788536,1.0
0,0.7,0.4,0.0,0.990539788536,1.0
0,0.7,0.5,0.211267605634,0.992209237618,1.0
0,0.7,0.6,0.142857142857,0.991652754591,1.0
0,0.7,0.7,0.0,0.990539788536,1.0
0,0.7,0.8,0.0724637681159,0.991096271564,1.0
0,0.7,0.9,0.211267605634,0.992209237618,1.0
0,0.8,0.1,0.0,0.990539788536,1.0
0,0.8,0.2,0.0,0.990539788536,1.0
0,0.8,0.3,0.0,0.990539788536,1.0
0,0.8,0.4,0.0,0.990539788536,1.0
0,0.8,0.5,0.211267605634,0.992209237618,1.0
0,0.8,0.6,0.142857142857,0.991652754591,1.0
0,0.8,0.7,0.0,0.990539788536,1.0
0,0.8,0.8,0.0724637681159,0.991096271564,1.0
0,0.8,0.9,0.142857142857,0.991652754591,1.0
0,0.9,0.1,0.0,0.990539788536,1.0
0,0.9,0.2,0.0,0.990539788536,1.0
0,0.9,0.3,0.0,0.990539788536,1.0
0,0.9,0.4,0.0,0.990539788536,1.0
0,0.9,0.5,0.0,0.990539788536,1.0
0,0.9,0.6,0.0,0.990539788536,1.0
0,0.9,0.7,0.0,0.990539788536,1.0
0,0.9,0.8,0.0724637681159,0.991096271564,1.0
0,0.9,0.9,0.0,0.990539788536,1.0
