global_ids,types,X,Y,Z,areas,ax1s,ax2s,gyrations,volumes,Rand,Rank,Train
1uDBQ9y7vCyxXlpVEuenQQ,IfcWallStandardCase,0.254,1.55100004,4.668,12.70098836,38.96504947,1.19742714,0.390311532,0.325958482,0.99938568511663,1,1
1fSPz2NmP4K9WVHrUZoUY8,IfcWallStandardCase,0.3,2.16664344,2.58,6.584916805,24.78581424,2.360743708,0.627185404,0.265672805,0.999128702744253,2,1
3Egy$LBd99weR14rW4btp_,IfcWallStandardCase,0.254,6.606085349,4.778,59.84039867,37.78611218,1.167764471,1.84934325,1.583661171,0.999045139688769,3,1
0tIhQ6hmz02e5gznEed4_U,IfcWallStandardCase,0.254,0.461000481,4.668,2.843032355,45.14748572,1.221811528,0.076940048,0.062972108,0.998322537372953,4,1
0gv$MiiG16nwMz1zOZ8L4c,IfcWallStandardCase,0.3,5.030023226,2.72,25.66575486,21.19620005,1.145814728,1.387427928,1.210865853,0.998148447051435,5,1
3Egy$LBd99weR14rW4bqgM,IfcWallStandardCase,0.368,2.212,4.668,20.156512,13.34642526,0.385918543,0.582835597,1.510255488,0.997663289947488,6,1
2wMrEQnZj0tx6ZcpbcsFGz,IfcWallStandardCase,7.675,0.35,2.8,32.28718658,15.50129705,1.098405265,2.287835375,2.08287,0.997488119083377,7,1
3NhaIUfh12PAdrGa$S3yh0,IfcWallStandardCase,0.324,10.56943563,4.778,95.27352865,16.87955669,0.516697359,2.916402457,5.644314622,0.99397847090508,8,1
3Egy$LBd99weR14rW4bmUv,IfcWallStandardCase,0.324,2.116,4.668,18.704608,17.62050117,0.522134195,0.554258664,1.061525312,0.993024724032187,9,2
3Egy$LBd99weR14rW4bt4f,IfcWallStandardCase,6.016,0.324,4.778,55.829008,16.90978321,0.508640091,1.679316131,3.301580352,0.992696385686775,10,2
0tIhQ6hmz02e5gznEedAdA,IfcWallStandardCase,0.254,0.606,2.7,2.343848,42.76314541,2.157165313,0.118234231,0.05481,0.991828065236354,11,2
3Egy$LBd99weR14rW4brgb,IfcWallStandardCase,0.368,0.492,4.668,4.208672,19.20170455,0.443689397,0.097248822,0.219182208,0.991800840447264,12,2
0bk1ZfURb7DB4FOIglu8fH,IfcWallStandardCase,2.956,0.324,4.668,26.419168,17.30234924,0.521571274,0.796393538,1.526912192,0.989817255206441,13,2
3Y4YRln2r91vflHcHE5IVJ,IfcWallStandardCase,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,0.32804573,0.017653075,0.989286478139474,14,2
2d8HbdSu9Fr9Na0iagzNwL,IfcWallStandardCase,0.49,0.254,2.3054,1.4798352,44.88352702,2.582751119,0.085154761,0.032970564,0.988112055593003,15,2
302ypBJnbBJ9L8R5dWPcdO,IfcWallStandardCase,0.3,2.16664344,2.58,6.584916805,24.78581424,2.360743708,0.627185404,0.265672805,0.987642100020038,16,2
1qc5HjZvrCsga38tqxQ3CZ,IfcWallStandardCase,0.254,0.606,4.668,4.154408,42.41077299,1.207008344,0.118234231,0.097956432,0.98759593553824,17,2
2g$QZpOGbBUxSNx_ZgxJOk,IfcWallStandardCase,0.467,2.87,5.227,30.954378,8.637551976,0.216147351,0.774606836,3.58369803,0.985803648604891,18,2
3LbNSBzHHBSuzhUUvuwDo1,IfcWallStandardCase,6.161,0.324,4.668,52.4779,17.14705663,0.537006005,1.643485995,3.060461112,0.985302508326673,19,2
3NhaIUfh12PAdrGa$S3yAc,IfcWallStandardCase,0.324,1.876,4.778,13.52046,19.06183889,0.755063788,0.535562691,0.709294632,0.984832124613767,20,2
3Egy$LBd99weR14rW4bt6T,IfcWallStandardCase,0.324,1.435593384,4.778,9.030965626,21.29480338,0.888423654,0.376773776,0.424092464,0.984374288615245,21,2
3k2zEpWm12dhV9c2m$$NC2,IfcWallStandardCase,0.4,7.38,2.58,37.41437679,11.30145678,0.609680222,2.018395148,3.31058,0.984118805782784,22,2
3Egy$LBd99weR14rW4boI1,IfcWallStandardCase,0.324,1.130000693,4.668,9.649190367,18.72719586,0.525655247,0.270843942,0.515250144,0.98328544299734,23,2
3Egy$LBd99weR14rW4bfu5,IfcWallStandardCase,3.981,0.324,4.778,36.691868,17.09486485,0.508797924,1.092067496,2.146367832,0.983162985072919,24,2
3NhaIUfh12PAdrGa$S3zXe,IfcWallStandardCase,0.324,3.526,4.778,32.413048,17.16722717,0.508877815,0.960800534,1.888077072,0.983059234513876,25,2
3Egy$LBd99weR14rW4bpOG,IfcWallStandardCase,0.324,7.72,4.668,70.171744,16.84261728,0.521114985,2.171132116,4.16632064,0.982545494721235,26,2
2d8HbdSu9Fr9Na0iagzM6G,IfcWallStandardCase,0.254,0.636,4.778,4.533528,42.061065,1.176645112,0.126824025,0.107784432,0.98131922629346,27,2
0tIhQ6hmz02e5gznEed7Vr,IfcWallStandardCase,0.307,0.254,3.2,0.977556,56.39529249,1.996013158,0.034598892,0.017334,0.981207548351463,28,2
3Egy$LBd99weR14rW4bqpl,IfcWallStandardCase,0.324,8.506030691,4.668,70.63867386,17.15547124,0.573799914,2.362655297,4.117559516,0.980165912320088,29,2
2j55VthSj3Lu0J6fyrpKrI,IfcWallStandardCase,0.324,1.9145,4.668,16.854032,17.74318068,0.522405116,0.49622628,0.949887864,0.977118756367053,30,2
0bk1ZfURb7DB4FOIglu8sV,IfcWallStandardCase,2.832,0.324,4.668,25.280352,17.33653825,0.521622084,0.760635699,1.458212224,0.976814610146516,31,2
3LbNSBzHHBSuzhUUvuwF8b,IfcWallStandardCase,2.746,0.324,4.668,24.490528,17.36220579,0.521661763,0.735838071,1.410565472,0.976125680765498,32,2
2O2Fr$t4X7Zf8NOew3FNbT,IfcWallStandardCase,4.401,0.693,2.995,30.381646,5.248435763,0.210936013,1.221046341,5.788704935,0.975705768625586,33,2
2d8HbdSu9Fr9Na0iagze_k,IfcWallStandardCase,0.606,0.254,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.975425235552402,34,2
3Y4YRln2r91vflHcHE5IVI,IfcWallStandardCase,1.2831,0.254,0.488,0.7719444,45.82803305,18.58498542,0.313052393,0.016844371,0.974363984316826,35,2
3Egy$LBd99weR14rW4bnKP,IfcWallStandardCase,0.58,0.254,4.668,3.919264,42.74782251,1.208492098,0.110798616,0.09168336,0.973464431968371,36,2
3NhaIUfh12PAdrGa$S3zt9,IfcWallStandardCase,0.324,5.737016315,4.778,49.82945742,17.1761424,0.564611342,1.637985769,2.901085485,0.973076030959353,37,2
2O2Fr$t4X7Zf8NOew3FKGS,IfcWallStandardCase,0.324,3.783,2.995,21.610714,17.40278722,0.833423615,1.034942229,1.24179614,0.972854770828657,38,2
3Egy$LBd99weR14rW4bpQ7,IfcWallStandardCase,0.324,1.91,4.668,13.436716,19.05184599,0.728311291,0.513656891,0.70527108,0.972687907724688,39,2
1VhuFNNWX7efxltD2ZAo93,IfcWallStandardCase,3.5495,0.467,4.77,34.843443,8.525377511,0.237332576,0.969984504,4.087026405,0.972294015803526,40,2
2O2Fr$t4X7Zf8NOew3FKRH,IfcWallStandardCase,0.75,2.4,2.995,18.05356,6.320808638,0.236016468,0.674112713,2.8562105,0.971131801702182,41,2
2j55VthSj3Lu0J6fyrpNIB,IfcWallStandardCase,0.254,0.606451851,4.668,4.158494536,42.40529665,1.206985032,0.118363531,0.098065451,0.970608005563698,42,2
0ayGa9swL6Jvmb9DQx3xKv,IfcWallStandardCase,2.039046059,0.467,3.108195686,13.23163872,9.265868678,0.375667851,0.53645281,1.427997653,0.969454259483034,43,2
