global_ids,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Train,Outlier
2d8HbdSu9Fr9Na0iagzNbi,0.64,0.254,4.778,4.570584,0.127970049,0.10877328,42.01936358,1.17648423,train,1
2d8HbdSu9Fr9Na0iagzMj3,6.455,0.324,4.778,53.205388,1.9122051,3.06654108,17.35029358,0.623570678,train,1
3NTbOglFbF7P0XxBUJeoZv,0.3,5.030023226,2.72,25.66575486,1.387427928,1.210865853,21.19620005,1.145814728,train,1
3Egy$LBd99weR14rW4bpig,2.59,0.324,4.668,23.057824,0.690861539,1.32413648,17.41347992,0.521744964,train,1
3Egy$LBd99weR14rW4btB1,1.324,0.324,4.778,11.70544,0.326439377,0.638063328,18.34526369,0.511609683,train,1
3Egy$LBd99weR14rW4bfey,0.324,7.106,4.778,62.70338,1.904766921,3.678219192,17.04721136,0.517850302,train,1
3Egy$LBd99weR14rW4beVZ,0.324,2.440637115,4.778,22.50153677,0.656924726,1.235808099,18.2079538,0.531575029,train,1
1uDBQ9y7vCyxXlpVEuen5j,0.66,0.254,4.668,4.642784,0.133702406,0.11098512,41.8324907,1.204687672,train,1
3Egy$LBd99weR14rW4bqjZ,0.254,0.489,4.668,3.09626,0.084870981,0.069727608,44.40507984,1.217179005,train,1
0ayGa9swL6Jvmb9DQx3whM,0.574953941,0.467,3.5,4.437121413,0.13287822,0.330371917,13.43068579,0.402207977,train,1
2d8HbdSu9Fr9Na0iagzMhq,1.001,0.254,4.88,8.089308,0.231753641,0.20242872,39.96126637,1.144865416,train,1
24wOFwWPf0iOQuswFB3Rqe,0.35,7.38,2.72,38.60934545,2.030309841,2.65734,14.52932084,0.764038415,train,1
3Egy$LBd99weR14rW4bt8K,0.603999799,0.324,4.778,4.934558105,0.12199448,0.229339374,21.51640177,0.531938663,train,1
3Egy$LBd99weR14rW4bnqi,0.254,0.606,4.668,4.154408,0.118234231,0.097956432,42.41077299,1.207008344,train,1
0UkNSLJf55phwJDF$vXK2N,1.45025,0.254,4.778,12.07674,0.361252574,0.309076803,39.0735891,1.168811668,train,1
1qc5HjZvrCsga38tqxQ300,0.254,0.543,4.668,3.584636,0.10023514,0.082756296,43.3155684,1.211208634,train,1
2d8HbdSu9Fr9Na0iagzMPy,0.64,0.254,4.88,4.66758,0.120501459,0.1023516,45.60339067,1.177328535,train,1
3pms57Ad5AVAb74jf4yKbh,0.254,0.66,4.668,4.642784,0.133702406,0.11098512,41.8324907,1.204687672,train,1
0cxFzHcarEaeck8KCewQ3e,7.375,0.4,2.58,34.8102903,2.178494815,3.007548333,11.57430786,0.724342412,train,1
0tIhQ6hmz02e5gznEed7S_,0.307,0.254,2.7,0.816556,0.034598892,0.014445,56.52862582,2.39521579,train,1
3qpE7fVkr8dRZ2wfCc6tnc,0.225,0.37208546,1.7,0.599860653,0.050198278,0.006453205,92.95546574,7.778813797,train,1
0ClPCUC7jCQRnj1dhupHkw,1.99,0.225,4.778,14.18764,0.526302711,0.172428,82.281532,3.052304214,train,1
0UkNSLJf55phwJDF$vXKC6,1.45025,0.254,4.778,12.07674,0.361252574,0.309076803,39.0735891,1.168811668,train,1
3LbNSBzHHBSuzhUUvuwFks,4.01,1.026075479,4.668,36.70332126,1.118853395,2.146192969,17.10159422,0.521320036,train,1
3LbNSBzHHBSuzhUUvuwEka,0.324,4.122451851,4.668,37.1318618,1.132879977,2.173163844,17.08654499,0.521304448,train,1
0mxk1RW8H5mvX1dNnpRq0v,0.254,0.606,4.668,4.154408,0.118234231,0.097956432,42.41077299,1.207008344,train,1
3LbNSBzHHBSuzhUUvuwDJl,0.324,4.405000352,4.668,39.72678724,1.214406713,2.329704755,17.05228405,0.52127065,train,1
3MOOG5txfDyunpNn2Iq9N7,5.14375161,0.324,2.2715,22.22174532,1.427587008,1.269881701,17.49906728,1.124188975,train,1
2d8HbdSu9Fr9Na0iagzMxf,3.775254846,0.254,4.88,34.35595289,1.03220489,0.903538405,38.02378815,1.142402896,train,1
3Egy$LBd99weR14rW4bgaI,3.336,0.324,4.778,30.626288,0.905992642,1.780219392,17.20365936,0.508921903,train,1
3Egy$LBd99weR14rW4brUK,3.593600732,0.324,4.668,32.27489312,0.980301906,1.880163401,17.16600435,0.521391867,train,1
1F87kfUbz67h$rm61doscg,0.4,7.38,2.58,37.41437679,2.018395148,3.31058,11.30145678,0.609680222,train,1
3Egy$LBd99weR14rW4bguN,3.749,0.254,4.778,33.36858,1.014825987,0.868702968,38.41195579,1.168208266,train,1
2KFJU1X6rEj8WoLfE51FCJ,0.3,2.124976774,2.8,6.655874578,0.718693177,0.270393961,24.61547051,2.657948327,train,1
3LbNSBzHHBSuzhUUvuwBEp,13.271,0.467,4.77,125.1654553,3.758796876,14.98647464,8.351894517,0.250812614,train,1
0ClPCUC7jCQRnj1dhupHkw,1.99,0.225,4.778,14.18764,0.526302711,0.172428,82.281532,3.052304214,train,1
0tIhQ6hmz02e5gznEed4ib,0.327,0.254,3.2,1.099716,0.039838214,0.020574,53.4517352,1.936337828,train,1
3pms57Ad5AVAb74jf4yKnX,0.254,0.66,4.668,4.642784,0.133702406,0.11098512,41.8324907,1.204687672,train,1
2j55VthSj3Lu0J6fyrpG7s,15.4095,0.467,2.744328166,62.32657831,4.535072418,7.054945549,8.834452071,0.642821746,train,1
3pms57Ad5AVAb74jf4yKob,0.254,0.606,4.668,4.154408,0.118234231,0.097956432,42.41077299,1.207008344,train,1
