X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Rand,Rank,Train
0.617,3,2.61,23.751856,107.0884353,4.57987981,1l0GAJtRTFv8$zmKJOH4pU,1.01580199,IfcWindow,0.221796648,0.0886161724291806,111,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DnLqt,0.391513745,IfcWindow,0.068159298,0.139976560489811,106,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgTb,0.391513745,IfcWindow,0.068159298,0.705355564862961,33,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg94,0.391513745,IfcWindow,0.068159298,0.491862655634899,53,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg1N,0.391513745,IfcWindow,0.068159298,0.449921178220247,61,Train
0.617,1.019,0.959,4.25305924,87.04354278,6.760417,1l0GAJtRTFv8$zmKJOH4oq,0.330322653,IfcWindow,0.048861284,0.836812318032736,18,Train
0.95,0.32,0.825,1.784,77.52308528,11.38443565,14a_vuUkr9Aug0F5XZL1r9,0.261984325,IfcWindow,0.0230125,0.770708938403699,29,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgKt,0.391513745,IfcWindow,0.068159298,0.27618956372601,87,Train
5.035,0.617,2.62,37.739076,111.891593,4.862684702,1hOSvn6df7F8_7GcBWlR72,1.640098443,IfcWindow,0.337282498,0.676197476940713,35,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxG7q,0.391513745,IfcWindow,0.068159298,0.196083365464941,96,Train
3,0.617,2.61,23.751856,107.0884353,4.57987981,1hOSvn6df7F8_7GcBWlS_W,1.01580199,IfcWindow,0.221796648,0.48046293360986,55,Train
0.617,1.019,0.959,4.249626,87.21299781,6.78922304,1l0GAJtRTFv8$zmKJOH4kJ,0.330818335,IfcWindow,0.04872698,0.597939390480729,43,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg5J,0.391513745,IfcWindow,0.068159298,0.763088953352878,30,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgaJ,0.391513745,IfcWindow,0.068159298,0.46469192117815,59,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1Ng$ICL2f2M98Az0lSlhQz,0.428325254,IfcWindow,0.043075,0.832396553742298,20,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,24b7QA$u9B6PWCemHbVVYO,0.428325254,IfcWindow,0.043075,0.773485671519622,28,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1NHh_hUdv58eBVC4q4CA79,0.428325254,IfcWindow,0.043075,0.867713518932325,14,Train
1.019,0.617,0.959,4.249626,87.21299781,6.78922304,1hOSvn6df7F8_7GcBWlSnC,0.330818335,IfcWindow,0.04872698,0.377240908859423,68,Train
0.617,1.019,0.959,4.249626,87.21299781,6.78922304,1l0GAJtRTFv8$zmKJOH4qs,0.330818335,IfcWindow,0.04872698,0.467045516952227,58,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1syLSFNVnA39MoughWJWM0,0.428325254,IfcWindow,0.043075,0.335792302986866,72,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgOb,0.391513745,IfcWindow,0.068159298,0.0368144515435196,119,Train
0.617,1.019,0.959,4.25305924,87.04354278,6.760417,1l0GAJtRTFv8$zmKJOH4gQ,0.330322653,IfcWindow,0.048861284,0.781674618892561,26,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJqZ,0.391513745,IfcWindow,0.068159298,0.795564803924995,24,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg6e,0.391513745,IfcWindow,0.068159298,0.53577050046073,46,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgDl,0.391513745,IfcWindow,0.068159298,0.393167060669548,65,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgFZ,0.391513745,IfcWindow,0.068159298,0.334055171833062,74,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,21QXPa4vP6k9SQDBS6RqSU,0.428325254,IfcWindow,0.043075,0.856876385966131,16,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgQg,0.391513745,IfcWindow,0.068159298,0.625392984738283,40,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJvL,0.391513745,IfcWindow,0.068159298,0.993118756226766,2,Train
0.617,1.019,0.959,4.249626,87.21299781,6.78922304,1l0GAJtRTFv8$zmKJOH4u1,0.330818335,IfcWindow,0.04872698,0.527528372071772,48,Train
