X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Train
0.64,0.254,4.778,4.570584,42.01936358,1.17648423,2d8HbdSu9Fr9Na0iagzNbi,0.127970049,IfcWallStandardCase,0.10877328,train
6.455,0.324,4.778,53.205388,17.35029358,0.623570678,2d8HbdSu9Fr9Na0iagzMj3,1.9122051,IfcWallStandardCase,3.06654108,train
0.3,5.030023226,2.72,25.66575486,21.19620005,1.145814728,3NTbOglFbF7P0XxBUJeoZv,1.387427928,IfcWallStandardCase,1.210865853,train
2.59,0.324,4.668,23.057824,17.41347992,0.521744964,3Egy$LBd99weR14rW4bpig,0.690861539,IfcWallStandardCase,1.32413648,train
1.324,0.324,4.778,11.70544,18.34526369,0.511609683,3Egy$LBd99weR14rW4btB1,0.326439377,IfcWallStandardCase,0.638063328,train
0.324,7.106,4.778,62.70338,17.04721136,0.517850302,3Egy$LBd99weR14rW4bfey,1.904766921,IfcWallStandardCase,3.678219192,train
0.324,2.440637115,4.778,22.50153677,18.2079538,0.531575029,3Egy$LBd99weR14rW4beVZ,0.656924726,IfcWallStandardCase,1.235808099,train
0.66,0.254,4.668,4.642784,41.8324907,1.204687672,1uDBQ9y7vCyxXlpVEuen5j,0.133702406,IfcWallStandardCase,0.11098512,train
0.254,0.489,4.668,3.09626,44.40507984,1.217179005,3Egy$LBd99weR14rW4bqjZ,0.084870981,IfcWallStandardCase,0.069727608,train
0.574953941,0.467,3.5,4.437121413,13.43068579,0.402207977,0ayGa9swL6Jvmb9DQx3whM,0.13287822,IfcWallStandardCase,0.330371917,train
1.001,0.254,4.88,8.089308,39.96126637,1.144865416,2d8HbdSu9Fr9Na0iagzMhq,0.231753641,IfcWallStandardCase,0.20242872,train
0.35,7.38,2.72,38.60934545,14.52932084,0.764038415,24wOFwWPf0iOQuswFB3Rqe,2.030309841,IfcWallStandardCase,2.65734,train
0.603999799,0.324,4.778,4.934558105,21.51640177,0.531938663,3Egy$LBd99weR14rW4bt8K,0.12199448,IfcWallStandardCase,0.229339374,train
0.254,0.606,4.668,4.154408,42.41077299,1.207008344,3Egy$LBd99weR14rW4bnqi,0.118234231,IfcWallStandardCase,0.097956432,train
1.45025,0.254,4.778,12.07674,39.0735891,1.168811668,0UkNSLJf55phwJDF$vXK2N,0.361252574,IfcWallStandardCase,0.309076803,train
0.254,0.543,4.668,3.584636,43.3155684,1.211208634,1qc5HjZvrCsga38tqxQ300,0.10023514,IfcWallStandardCase,0.082756296,train
0.64,0.254,4.88,4.66758,45.60339067,1.177328535,2d8HbdSu9Fr9Na0iagzMPy,0.120501459,IfcWallStandardCase,0.1023516,train
0.254,0.66,4.668,4.642784,41.8324907,1.204687672,3pms57Ad5AVAb74jf4yKbh,0.133702406,IfcWallStandardCase,0.11098512,train
7.375,0.4,2.58,34.8102903,11.57430786,0.724342412,0cxFzHcarEaeck8KCewQ3e,2.178494815,IfcWallStandardCase,3.007548333,train
0.307,0.254,2.7,0.816556,56.52862582,2.39521579,0tIhQ6hmz02e5gznEed7S_,0.034598892,IfcWallStandardCase,0.014445,train
0.225,0.37208546,1.7,0.599860653,92.95546574,7.778813797,3qpE7fVkr8dRZ2wfCc6tnc,0.050198278,IfcWallStandardCase,0.006453205,train
1.99,0.225,4.778,14.18764,82.281532,3.052304214,0ClPCUC7jCQRnj1dhupHkw,0.526302711,IfcWallStandardCase,0.172428,train
1.45025,0.254,4.778,12.07674,39.0735891,1.168811668,0UkNSLJf55phwJDF$vXKC6,0.361252574,IfcWallStandardCase,0.309076803,train
