X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Outlier
0.617,3,2.61,23.751856,107.0884353,4.57987981,1l0GAJtRTFv8$zmKJOH4pU,1.01580199,IfcWindow,0.221796648,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DnLqt,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgTb,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg94,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg1N,0.391513745,IfcWindow,0.068159298,1
0.617,1.019,0.959,4.25305924,87.04354278,6.760417,1l0GAJtRTFv8$zmKJOH4oq,0.330322653,IfcWindow,0.048861284,1
0.95,0.32,0.825,1.784,77.52308528,11.38443565,14a_vuUkr9Aug0F5XZL1r9,0.261984325,IfcWindow,0.0230125,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgKt,0.391513745,IfcWindow,0.068159298,1
5.035,0.617,2.62,37.739076,111.891593,4.862684702,1hOSvn6df7F8_7GcBWlR72,1.640098443,IfcWindow,0.337282498,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxG7q,0.391513745,IfcWindow,0.068159298,1
3,0.617,2.61,23.751856,107.0884353,4.57987981,1hOSvn6df7F8_7GcBWlS_W,1.01580199,IfcWindow,0.221796648,1
0.617,1.019,0.959,4.249626,87.21299781,6.78922304,1l0GAJtRTFv8$zmKJOH4kJ,0.330818335,IfcWindow,0.04872698,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg5J,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgaJ,0.391513745,IfcWindow,0.068159298,1
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1Ng$ICL2f2M98Az0lSlhQz,0.428325254,IfcWindow,0.043075,1
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,24b7QA$u9B6PWCemHbVVYO,0.428325254,IfcWindow,0.043075,1
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1NHh_hUdv58eBVC4q4CA79,0.428325254,IfcWindow,0.043075,1
1.019,0.617,0.959,4.249626,87.21299781,6.78922304,1hOSvn6df7F8_7GcBWlSnC,0.330818335,IfcWindow,0.04872698,1
0.617,1.019,0.959,4.249626,87.21299781,6.78922304,1l0GAJtRTFv8$zmKJOH4qs,0.330818335,IfcWindow,0.04872698,1
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,1syLSFNVnA39MoughWJWM0,0.428325254,IfcWindow,0.043075,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgOb,0.391513745,IfcWindow,0.068159298,1
