,nu,gamma,F2 score,Accuracy,TNR
0,0.1,0.1,0.339805825243,0.990373725934,1.0
0,0.1,0.2,0.0515463917526,0.986976217441,1.0
0,0.1,0.3,0.514018691589,0.992638731597,1.0
0,0.1,0.4,0.862068965517,0.997734994337,1.0
0,0.1,0.5,0.151515151515,0.988108720272,1.0
0,0.1,0.6,0.636363636364,0.994337485844,1.0
0,0.1,0.7,0.428571428571,0.991506228766,1.0
0,0.1,0.8,0.151515151515,0.988108720272,1.0
0,0.1,0.9,0.636363636364,0.994337485844,1.0
0,0.2,0.1,0.2,0.988674971687,1.0
0,0.2,0.2,0.384615384615,0.99093997735,1.0
0,0.2,0.3,0.826086956522,0.997168742922,1.0
0,0.2,0.4,0.789473684211,0.996602491506,1.0
0,0.2,0.5,0.2,0.988674971687,1.0
0,0.2,0.6,0.471698113208,0.992072480181,1.0
0,0.2,0.7,0.471698113208,0.992072480181,1.0
0,0.2,0.8,0.428571428571,0.991506228766,1.0
0,0.2,0.9,0.384615384615,0.99093997735,1.0
0,0.3,0.1,0.714285714286,0.995469988675,1.0
0,0.3,0.2,0.294117647059,0.989807474519,1.0
0,0.3,0.3,0.384615384615,0.99093997735,1.0
0,0.3,0.4,0.897435897436,0.998301245753,1.0
0,0.3,0.5,0.247524752475,0.989241223103,1.0
0,0.3,0.6,0.714285714286,0.995469988675,1.0
0,0.3,0.7,0.555555555556,0.993204983012,1.0
0,0.3,0.8,0.384615384615,0.99093997735,1.0
0,0.3,0.9,0.514018691589,0.992638731597,1.0
0,0.4,0.1,0.514018691589,0.992638731597,1.0
0,0.4,0.2,0.102040816327,0.987542468856,1.0
0,0.4,0.3,0.897435897436,0.998301245753,1.0
0,0.4,0.4,0.789473684211,0.996602491506,1.0
0,0.4,0.5,0.555555555556,0.993204983012,1.0
0,0.4,0.6,0.102040816327,0.987542468856,1.0
0,0.4,0.7,0.471698113208,0.992072480181,1.0
0,0.4,0.8,0.384615384615,0.99093997735,1.0
0,0.4,0.9,0.789473684211,0.996602491506,1.0
0,0.5,0.1,0.555555555556,0.993204983012,1.0
0,0.5,0.2,0.826086956522,0.997168742922,1.0
0,0.5,0.3,0.596330275229,0.993771234428,1.0
0,0.5,0.4,0.294117647059,0.989807474519,1.0
0,0.5,0.5,0.151515151515,0.988108720272,1.0
0,0.5,0.6,0.636363636364,0.994337485844,1.0
0,0.5,0.7,0.102040816327,0.987542468856,1.0
0,0.5,0.8,0.247524752475,0.989241223103,1.0
0,0.5,0.9,0.555555555556,0.993204983012,1.0
0,0.6,0.1,0.0,0.986409966025,1.0
0,0.6,0.2,0.471698113208,0.992072480181,1.0
0,0.6,0.3,0.471698113208,0.992072480181,1.0
0,0.6,0.4,0.555555555556,0.993204983012,1.0
0,0.6,0.5,0.555555555556,0.993204983012,1.0
0,0.6,0.6,0.555555555556,0.993204983012,1.0
0,0.6,0.7,0.102040816327,0.987542468856,1.0
0,0.6,0.8,0.752212389381,0.996036240091,1.0
0,0.6,0.9,0.596330275229,0.993771234428,1.0
0,0.7,0.1,0.0,0.986409966025,1.0
0,0.7,0.2,0.636363636364,0.994337485844,1.0
0,0.7,0.3,0.0,0.986409966025,1.0
0,0.7,0.4,0.0,0.986409966025,1.0
0,0.7,0.5,0.636363636364,0.994337485844,1.0
0,0.7,0.6,0.0,0.986409966025,1.0
0,0.7,0.7,0.0,0.986409966025,1.0
0,0.7,0.8,0.2,0.988674971687,1.0
0,0.7,0.9,0.2,0.988674971687,1.0
0,0.8,0.1,0.0,0.986409966025,1.0
0,0.8,0.2,0.636363636364,0.994337485844,1.0
0,0.8,0.3,0.0,0.986409966025,1.0
0,0.8,0.4,0.0,0.986409966025,1.0
0,0.8,0.5,0.636363636364,0.994337485844,1.0
0,0.8,0.6,0.0,0.986409966025,1.0
0,0.8,0.7,0.0,0.986409966025,1.0
0,0.8,0.8,0.0,0.986409966025,1.0
0,0.8,0.9,0.0,0.986409966025,1.0
0,0.9,0.1,0.0,0.986409966025,1.0
0,0.9,0.2,0.636363636364,0.994337485844,1.0
0,0.9,0.3,0.0,0.986409966025,1.0
0,0.9,0.4,0.0,0.986409966025,1.0
0,0.9,0.5,0.636363636364,0.994337485844,1.0
0,0.9,0.6,0.0,0.986409966025,1.0
0,0.9,0.7,0.0,0.986409966025,1.0
0,0.9,0.8,0.0,0.986409966025,1.0
0,0.9,0.9,0.0,0.986409966025,1.0
