,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,3.908,17.166,0.505,131.9035192,7.28877868409,0.283987351152,1hOSvn6df7F8_7GcBWlRrM,5.13926031352,IfcSlab,18.096793018
1,3.908,17.166,0.505,131.7123592,7.29108498088,0.284714525926,1hOSvn6df7F8_7GcBWlRqU,5.14332530845,IfcSlab,18.064850368
2,8.166,9.508,0.327,133.947452,16.2813448397,0.410047130386,2O2Fr$t4X7Zf8NOew3FK4F,3.37347859504,IfcSlab,8.227050856
3,8.166,9.508,0.327,134.200452,16.2803054336,0.409442042293,2O2Fr$t4X7Zf8NOew3FKcz,3.37507839566,IfcSlab,8.243116356
4,8.166,9.508,0.219,95.097116,106.15312761,3.70656526866,2OBrcmyk58NupXoVOHUtxr,3.32052079153,IfcSlab,0.895848461
5,8.166,9.508,0.219,95.0975354811,106.153123651,3.70656471564,2OBrcmyk58NupXoVOHUtgP,3.32053506703,IfcSlab,0.89585244607
6,1.724,4.36,0.213,12.827464,155.639259035,15.5177124092,2OBrcmyk58NupXoVOHUt0F,1.27893757992,IfcSlab,0.08241792
7,1.724,4.36,0.213,12.827464,155.639259035,15.5177124092,2OBrcmyk58NupXoVOHUt2f,1.27893757992,IfcSlab,0.08241792
8,3.908,6.449,0.219,44.46483,106.166564437,4.85327019505,2OBrcmyk58NupXoVOHUtDX,2.0326534565,IfcSlab,0.418821408
9,3.908,6.465,0.219,44.517246,106.166954038,4.85296088237,2OBrcmyk58NupXoVOHUtBP,2.0349124206,IfcSlab,0.419313584
10,1.656,2.371,0.213,6.416254,156.141014674,18.3635296884,2OBrcmyk58NupXoVOHUtjR,0.754606796064,IfcSlab,0.041092688
11,3.908,6.449,0.219,44.46483,106.166564437,4.85327019505,2OBrcmyk58NupXoVOHUt8F,2.0326534565,IfcSlab,0.418821408
12,1.656,2.371,0.213,6.416254,156.141014674,18.3635296884,2OBrcmyk58NupXoVOHUtju,0.754606796064,IfcSlab,0.041092688
13,2.289,5.748,0.219,14.711942,107.381349491,12.1441092205,2OBrcmyk58NupXoVOHUt5W,1.66382180277,IfcSlab,0.137006492
14,6.009,2.43,0.213,26.117154,155.087308171,10.6662748695,2OBrcmyk58NupXoVOHUtoa,1.79623172688,IfcSlab,0.16840291
15,3.908,6.449,0.219,44.46483,106.166564437,4.85327019505,2OBrcmyk58NupXoVOHUtC0,2.0326534565,IfcSlab,0.418821408
16,2.289,5.748,0.219,14.711942,107.381349491,12.143719004,2OBrcmyk58NupXoVOHUt8s,1.66376834057,IfcSlab,0.137006492
17,6.009,2.43,0.213,26.117154,155.087308171,10.6662748695,2OBrcmyk58NupXoVOHUten,1.79623172688,IfcSlab,0.16840291
18,6.0,4.582734,0.35,53.8945346,14.1344970787,0.550377609707,1CZILmCaHETO8tf3SgGEXu,2.09857803673,IfcSlab,3.81297858
19,6.0,4.582734,0.35,53.8945346,14.1344970787,0.550377609707,1CZILmCaHETO8tf3SgGEWh,2.09857803673,IfcSlab,3.81297858
20,8.166,17.166,0.657,292.49736556,4.81499349859,0.0894970786913,3ThA22djr8AQQ9eQMA5s7I,5.43669679932,IfcSlab,60.7471984429
