,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,3.11,1.80508566015,0.421259918213,10.68585206,15.268634144,1.37012956404,1yEYBNJcP6RPdjYCbIad6j,0.958894010188,IfcSlab,0.699856448143
1,3.11,1.80620317213,0.448898979092,10.6941749931,15.2681978341,1.36899127857,3rRj5Ulwj0CRgQ1K0AQxEg,0.958871011244,IfcSlab,0.700421563126
2,3.11,1.80578499249,0.437115051525,10.6906095069,15.2683612092,1.36948799977,2ECY7P09TDHBd9sp2vjN91,0.958888857119,IfcSlab,0.700180547241
3,3.11,1.80591992632,0.440660765952,10.6916796496,15.2683085131,1.36934032591,2wHyf6ACrC8hG4R5w2$_8m,0.958884743741,IfcSlab,0.700253052946
4,3.11,1.80543371576,0.428707972334,10.688081279,15.2684983341,1.36983200458,1hZeF0nAz4JBDqRWYr$yqv,0.958894285685,IfcSlab,0.700008674405
5,1.21,0.6,0.3,1.09,26.9801980198,7.76224626499,01HjU3lDn5WOGWWXsZ1vFK,0.313594749106,IfcSlab,0.0404
6,1.21,0.6,0.3,1.09,26.9801980198,7.76224626499,1HBsyCWv11vwEaDoElYIZq,0.313594749106,IfcSlab,0.0404
7,1.21,0.6,0.3,1.09,26.9801980198,7.76224626499,3mS5Ix1D907PS6_XqVt4Oa,0.313594749106,IfcSlab,0.0404
8,1.21,0.6,0.3,1.09,26.9801980198,7.76224626499,1M9GtOTmb0y9zzrbwAaiAe,0.313594749106,IfcSlab,0.0404
9,1.21,0.6,0.3,1.09,26.9801980198,7.76224626499,2tw3QDFSDD19cAIA6jpSFg,0.313594749106,IfcSlab,0.0404
10,2.7,2.2,0.3,10.9,21.8,1.84842275107,0Iv7Z2HBT5FOzKWPhtU42V,0.924211375534,IfcSlab,0.5
11,2.7,2.2,0.3,10.9,21.8,1.84842275107,0jl_xsV_P4OeVQgFrvx2T3,0.924211375534,IfcSlab,0.5
12,2.7,2.2,0.3,10.9,21.8,1.84842275107,20WCXjGrT0Mes7IkMcPT8Y,0.924211375534,IfcSlab,0.5
13,2.7,2.2,0.3,10.9,21.8,1.84842275107,3uJysHX9XAfg$97uAC4lIQ,0.924211375534,IfcSlab,0.5
14,2.7,2.2,0.3,10.9,21.8,1.84842275107,2d$nQUVtH5i8ulOgXV26ZM,0.924211375534,IfcSlab,0.5
15,2.45,0.45,0.3,1.625,28.8888888889,11.6180645491,3NWz$p07HBHhRS5TfXCFuq,0.653516130889,IfcSlab,0.05625
16,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3UYqhMg6zElQO64rLnewgQ,0.65351613089,IfcSlab,0.05625
17,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,1Q7vSN7v15bQzJ_Iw0KiPz,0.65351613089,IfcSlab,0.05625
18,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,1GiWsHhUr5HBFMl4ObzVRK,0.65351613089,IfcSlab,0.05625
19,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3FXBwNe2vELBR$VbQMkAnE,0.65351613089,IfcSlab,0.05625
20,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,0Xq84doDT4bhudPNm8GcHM,0.65351613089,IfcSlab,0.05625
21,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3kVpB8D6LAugzJ0n2a1pgt,0.65351613089,IfcSlab,0.05625
22,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3z$0YXO8H6xh4v7IQJslQj,0.65351613089,IfcSlab,0.05625
23,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3z0eyO8Z93FgMBo2i5jrfw,0.65351613089,IfcSlab,0.05625
24,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,0y7GJzNMrAXRHmtLxG6dFE,0.65351613089,IfcSlab,0.05625
25,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,1q9AkVbyP2uP25bC45SS$F,0.65351613089,IfcSlab,0.05625
26,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,0swD$jEsPDe9FPvYXcT_Fi,0.65351613089,IfcSlab,0.05625
27,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,0NPxCUGN565g2LZ_Pp47uq,0.65351613089,IfcSlab,0.05625
28,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,27LYbuuBj2h8ld0YMQKXCX,0.65351613089,IfcSlab,0.05625
29,2.45,0.45,0.3,1.625,28.8888888889,11.6180645491,2cTeoFZTf6xf4ve1Sgpl1t,0.65351613089,IfcSlab,0.05625
30,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,0g1b9wDNrC8hsUyxxEzcH7,0.65351613089,IfcSlab,0.05625
31,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,1GtTrf_lf4ChsZ$SM9tpJX,0.65351613089,IfcSlab,0.05625
32,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3e5mSJfjT17voTzvz0RG3D,0.65351613089,IfcSlab,0.05625
33,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,1pSxEG2rr6zgoLYoEvbIzF,0.65351613089,IfcSlab,0.05625
34,2.45,0.45,0.3,1.625,28.8888888889,11.6180645492,3dj1AkCib0yB5EZit13Oks,0.65351613089,IfcSlab,0.05625
35,7.675,7.38,0.45,114.6685,8.54611006046,0.222993663686,0xUp88Fb99vAaphf3pNOo1,2.99204535672,IfcSlab,13.417625
36,7.675,7.38,0.45,114.6685,8.54611006046,0.222993663686,0E_GB4VlXEMhsAkPpccRSC,2.99204535672,IfcSlab,13.417625
37,7.675,7.38,0.45,114.6685,8.54611006046,0.222993663686,3iASXWe9TFARlA$oNumLVa,2.99204535672,IfcSlab,13.417625
38,7.675,7.38,0.45,114.6685,8.54611006046,0.222993663686,0dhzZG9wrB2BUeQLFnE0WM,2.99204535672,IfcSlab,13.417625
39,7.675,7.38,0.45,114.6685,8.54611006046,0.222993663686,0eOw95Ftz8ouxhngfqpnmz,2.99204535672,IfcSlab,13.417625
40,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,1P1HuDeiX6$eDeymjNUNcy,2.92213222597,IfcSlab,8.97669
41,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,3JkilHr2v6B8GAqSNNVI_y,2.92213222597,IfcSlab,8.97669
42,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,0erXUP2Jv3o90g3rVxo2Sp,2.92213222597,IfcSlab,8.97669
43,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,1wm0wknPj1lQYtyTvGxDI0,2.92213222597,IfcSlab,8.97669
44,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,33RCWHsGj7kvpWT5pcQpxV,2.92213222597,IfcSlab,8.97669
45,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,0fwijrbxHF$OUAhL_DoXl9,2.92213140135,IfcSlab,8.97669
46,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,00U97nJ51ADu9Un2R0RJbi,2.92213140135,IfcSlab,8.97669
47,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,3gxEUcQPP23QLc7sJ27bfx,2.92213140135,IfcSlab,8.97669
