,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,0.467,3.072486288,5.227,33.09830282,8.584749244,0.216001762,3LbNSBzHHBSuzhUUvuwBVu,0.832789813,IfcWallStandardCase,3.855476948
1,1.164,0.467,4.1495,10.238445,10.07171872,0.284057302,3LbNSBzHHBSuzhUUvuwBVB,0.28875956,IfcWallStandardCase,1.016553906
2,1.164,0.467,4.1495,10.238445,10.07171872,0.284057302,3LbNSBzHHBSuzhUUvuwBTL,0.28875956,IfcWallStandardCase,1.016553906
3,0.467,6.517,5.227,69.568814,8.205094289,0.215266681,3LbNSBzHHBSuzhUUvuwBLq,1.825188986,IfcWallStandardCase,8.478734253
4,0.467,0.827,4.1495,7.396524,11.18682258,0.297538369,3LbNSBzHHBSuzhUUvuwBBW,0.196726968,IfcWallStandardCase,0.661181846
5,0.467,0.827,4.1495,7.396524,11.18682258,0.297538369,3LbNSBzHHBSuzhUUvuwB87,0.196726968,IfcWallStandardCase,0.661181846
6,0.467,0.827,4.1495,7.396524,11.18682258,0.297538369,3LbNSBzHHBSuzhUUvuwBEV,0.196726968,IfcWallStandardCase,0.661181846
7,0.467,0.827,4.1495,7.396524,11.18682258,0.297538369,3LbNSBzHHBSuzhUUvuwBCD,0.196726968,IfcWallStandardCase,0.661181846
8,3.086,0.467,4.77,30.359544,8.621274159,0.23759243,3LbNSBzHHBSuzhUUvuwBD2,0.83667422,IfcWallStandardCase,3.52146834
9,0.467,1.165,4.1495,10.246878,10.06956878,0.28403634,3LbNSBzHHBSuzhUUvuwB08,0.289037771,IfcWallStandardCase,1.017608423
10,0.467,1.165,4.1495,10.246878,10.06956878,0.28403634,3LbNSBzHHBSuzhUUvuwB6c,0.289037771,IfcWallStandardCase,1.017608423
11,9.1365,0.467,5.227,97.30408,8.11228957,0.215170626,3LbNSBzHHBSuzhUUvuwB4_,2.580896505,IfcWallStandardCase,11.99465073
12,0.467,6.21556129,5.337,67.75934442,8.212440053,0.210676412,3LbNSBzHHBSuzhUUvuwAVf,1.738252634,IfcWallStandardCase,8.250817538
13,3.573,0.467,5.337,39.198542,8.472912966,0.211127569,3LbNSBzHHBSuzhUUvuwASm,0.976747067,IfcWallStandardCase,4.626335967
14,0.467,6.25,5.337,68.131558,8.210547512,0.210674061,3LbNSBzHHBSuzhUUvuwATn,1.748184511,IfcWallStandardCase,8.29805295
15,0.324,3.189,4.668,28.55904,17.24577994,0.521492331,3LbNSBzHHBSuzhUUvuwABT,0.863592159,IfcWallStandardCase,1.656001648
16,0.324,3.189,4.668,28.55904,17.24577994,0.521492331,3LbNSBzHHBSuzhUUvuwA89,0.863592159,IfcWallStandardCase,1.656001648
17,0.324,3.189,4.668,28.55904,17.24577994,0.521492331,3LbNSBzHHBSuzhUUvuwAEs,0.863592159,IfcWallStandardCase,1.656001648
18,2.263,0.368,4.668,20.629384,13.32185143,0.385853298,3LbNSBzHHBSuzhUUvuwAF2,0.597508229,IfcWallStandardCase,1.548537312
19,3.508,0.324,4.668,31.488736,17.18125475,0.521410089,3LbNSBzHHBSuzhUUvuwDqB,0.955608009,IfcWallStandardCase,1.832737856
20,0.324,4.406,4.668,39.735968,17.05217101,0.521270543,3LbNSBzHHBSuzhUUvuwDX4,1.214695161,IfcWallStandardCase,2.330258592
21,6.142,0.324,4.668,55.679392,16.91324684,0.521157596,3LbNSBzHHBSuzhUUvuwDal,1.715681109,IfcWallStandardCase,3.292058144
22,2.868000143,0.324,4.668,25.61097731,17.32628498,0.521606601,3LbNSBzHHBSuzhUUvuwDT4,0.771016686,IfcWallStandardCase,1.478157455
23,0.324,4.405000352,4.668,39.72678724,17.05228405,0.52127065,3LbNSBzHHBSuzhUUvuwDJl,1.214406713,IfcWallStandardCase,2.329704755
24,1.399000143,0.324,4.02,10.40507313,18.32064898,0.612681145,3LbNSBzHHBSuzhUUvuwDG3,0.347967592,IfcWallStandardCase,0.567942388
25,0.324,0.623,4.02,4.283984,21.38072486,0.635076364,3LbNSBzHHBSuzhUUvuwDNA,0.127248117,IfcWallStandardCase,0.20036664
26,2.215,0.324,4.668,19.613824,17.56921566,0.522029814,3LbNSBzHHBSuzhUUvuwDBy,0.582780762,IfcWallStandardCase,1.11637448
27,0.324,5.875000352,4.668,53.22726724,16.92908272,0.521168521,3LbNSBzHHBSuzhUUvuwD9l,1.638622516,IfcWallStandardCase,3.144131795
28,1.92,0.324,4.668,16.904544,17.73945053,0.522396437,3LbNSBzHHBSuzhUUvuwD4n,0.49780987,IfcWallStandardCase,0.95293504
29,4.092,0.324,4.668,36.852192,17.09053445,0.521308536,3LbNSBzHHBSuzhUUvuwCuu,1.124093709,IfcWallStandardCase,2.156292544
30,0.324,2.1664,4.668,19.1674816,17.59374689,0.522079089,3LbNSBzHHBSuzhUUvuwCyP,0.568778293,IfcWallStandardCase,1.089448525
31,3.639,0.324,4.668,32.69184,17.15822424,0.52138275,3LbNSBzHHBSuzhUUvuwCtX,0.993398921,IfcWallStandardCase,1.905316048
32,0.324,2.99,4.668,26.731424,17.29350571,0.521558511,3LbNSBzHHBSuzhUUvuwCii,0.806198693,IfcWallStandardCase,1.54574928
33,0.575,0.324,4.668,4.552064,21.90999317,0.548790963,3LbNSBzHHBSuzhUUvuwCiE,0.114017908,IfcWallStandardCase,0.207762
34,0.324,0.732584459,4.668,5.982262634,20.34614294,0.535084487,3LbNSBzHHBSuzhUUvuwCjY,0.1573279,IfcWallStandardCase,0.294024408
35,0.324,1.717,4.668,15.040192,17.89505139,0.522781927,3LbNSBzHHBSuzhUUvuwCWA,0.439380719,IfcWallStandardCase,0.840466544
36,4.28,0.368,4.668,39.331008,12.84258556,0.384906099,3LbNSBzHHBSuzhUUvuwCXe,1.178792603,IfcWallStandardCase,3.06254592
37,2.19,0.324,4.668,19.384224,17.58168496,0.522054711,3LbNSBzHHBSuzhUUvuwCJ1,0.575577681,IfcWallStandardCase,1.10252368
38,0.324,2.786,4.668,25.15312935,18.01041622,0.540360651,3LbNSBzHHBSuzhUUvuwCHk,0.754661147,IfcWallStandardCase,1.396587899
39,2.166,0.384,4.668,19.935888,12.33448679,0.352672959,3LbNSBzHHBSuzhUUvuwCLj,0.570015497,IfcWallStandardCase,1.616272192
