,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,0.324,5.624,3.1,30.516192,17.61121854,0.952342137,2O2Fr$t4X7Zf8NOew3FL9r,1.650189931,IfcWallStandardCase,1.732770048
1,0.324,5.624,3.1,30.516192,17.61121854,0.951984538,2O2Fr$t4X7Zf8NOew3FLIE,1.649570294,IfcWallStandardCase,1.732770048
2,0.617,18,3.1,108.9671089,6.508744464,0.265408595,2O2Fr$t4X7Zf8NOew3FLPP,4.443377287,IfcWallStandardCase,16.74164803
3,0.617,18,3.1,108.9671089,6.508744464,0.265408595,2O2Fr$t4X7Zf8NOew3FLR9,4.443377287,IfcWallStandardCase,16.74164803
4,0.617,17.166,3.3,117.735884,5.829609895,0.236735313,2O2Fr$t4X7Zf8NOew3FNhv,4.781150335,IfcWallStandardCase,20.1961857
5,0.617,17.583,3.3,120.669062,5.819515602,0.23771942,2O2Fr$t4X7Zf8NOew3FNqI,4.929169601,IfcWallStandardCase,20.7352416
6,9,0.617,3.1,50.10080892,7.653654752,0.334191548,2O2Fr$t4X7Zf8NOew3FLQD,2.187617212,IfcWallStandardCase,6.545998029
7,9,0.617,3.1,50.10080892,7.653654752,0.334191548,2O2Fr$t4X7Zf8NOew3FLOH,2.187617212,IfcWallStandardCase,6.545998029
8,4.401,0.693,2.995,30.381646,5.248435763,0.210936013,2O2Fr$t4X7Zf8NOew3FKRi,1.221046341,IfcWallStandardCase,5.788704935
9,4.401,0.693,2.995,30.381646,5.248435763,0.210936013,2O2Fr$t4X7Zf8NOew3FNbT,1.221046341,IfcWallStandardCase,5.788704935
10,9,0.617,3.3,45.21723,7.966197393,0.484752809,2O2Fr$t4X7Zf8NOew3FNtn,2.751523492,IfcWallStandardCase,5.67613728
11,2.289,0.324,3.588,12.720272,19.27566229,0.926770342,2O2Fr$t4X7Zf8NOew3FLTF,0.611588367,IfcWallStandardCase,0.659913616
12,1.656,0.324,2.995,9.193288,18.21822214,0.835940131,2O2Fr$t4X7Zf8NOew3FKIu,0.42183251,IfcWallStandardCase,0.50462048
13,2.289,0.324,3.588,12.720272,19.27566229,0.929025255,2O2Fr$t4X7Zf8NOew3FL8v,0.613076415,IfcWallStandardCase,0.659913616
14,8.583,0.617,3.3,42.284052,8.231143109,0.525562999,2O2Fr$t4X7Zf8NOew3FNr2,2.699859895,IfcWallStandardCase,5.13708138
15,0.324,3.12,2.995,15.147288,18.47198742,1.131847856,2O2Fr$t4X7Zf8NOew3FKST,0.92813107,IfcWallStandardCase,0.820013984
16,0.324,3.12,2.995,15.147288,18.47198742,1.131951124,2O2Fr$t4X7Zf8NOew3FNau,0.928215751,IfcWallStandardCase,0.820013984
17,1.819,0.384,3.1,11.053192,12.79455084,0.54447803,2O2Fr$t4X7Zf8NOew3FLCm,0.470373699,IfcWallStandardCase,0.8638984
18,0.352,2.495,2.995,14.37641,14.74491794,0.680980096,0iEHWY1$XA8eQeeULq4jDb,0.663960905,IfcWallStandardCase,0.9750078
19,1.819,0.384,3.1,11.053192,12.79455084,0.54447803,2O2Fr$t4X7Zf8NOew3FLMr,0.470373699,IfcWallStandardCase,0.8638984
20,1.819,0.324,3.1,10.510912,18.05401788,0.805118453,2O2Fr$t4X7Zf8NOew3FLEJ,0.468733844,IfcWallStandardCase,0.5821924
21,1.819,0.324,3.1,10.510912,18.05401788,0.805118453,2O2Fr$t4X7Zf8NOew3FLKI,0.468733844,IfcWallStandardCase,0.5821924
22,4.401,0.352,2.995,25.610374,14.34953537,0.679936044,0iEHWY1$XA8eQeeULq4jE6,1.213517786,IfcWallStandardCase,1.78475284
23,1.656,0.324,2.995,9.193288,18.21822214,0.835940131,0iEHWY1$XA8eQeeULq4jpl,0.42183251,IfcWallStandardCase,0.50462048
24,2.165,0.324,3.1,9.59616,19.62751508,1.135157961,2O2Fr$t4X7Zf8NOew3FLJd,0.55499422,IfcWallStandardCase,0.488913648
25,0.352,2.343,3.3,14.880472,14.73632714,0.614177349,0iEHWY1$XA8eQeeULq4j_U,0.620184986,IfcWallStandardCase,1.0097816
26,1.724,0.324,3.1,7.34352,20.62608159,1.140683368,1aj$VJZFn2TxepZUBcKpvt,0.406118394,IfcWallStandardCase,0.356030784
27,1.724,0.324,3.1,7.34352,20.62608159,1.09867746,1aj$VJZFn2TxepZUBcKpZw,0.391162997,IfcWallStandardCase,0.356030784
28,0.352,4.36,2.795,23.64392,14.40937688,0.732349076,0dxE1Sy6nDqfpDb5vIMN_Z,1.201689921,IfcWallStandardCase,1.6408704
29,2.165,0.324,3.1,9.59616,19.62751508,1.08960907,2O2Fr$t4X7Zf8NOew3FL96,0.532724746,IfcWallStandardCase,0.488913648
30,0.352,4.36,2.795,23.64392,14.40937688,0.732349076,0dxE1Sy6nDqfpDb5vIMNiA,1.201689921,IfcWallStandardCase,1.6408704
31,0.617,17.583,1.45,58.997422,6.511218008,0.553972536,2O2Fr$t4X7Zf8NOew3FK9N,5.019483523,IfcWallStandardCase,9.06088875
32,4.553,0.352,2.995,26.506262,14.33291149,0.679905544,0iEHWY1$XA8eQeeULq4jZ1,1.257368714,IfcWallStandardCase,1.84932852
