,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,1.2,0.467,1.935,7.183156,105.387763824,5.74409884441,2g$QZpOGbBUxSNx_ZgxGCP,0.391513744878,IfcWindow,0.068159298
1,1.2,0.467,1.935,7.183156,105.387763824,5.74409884464,2g$QZpOGbBUxSNx_ZgxG8P,0.391513744893,IfcWindow,0.068159298
2,1.2,0.467,1.935,7.183156,105.387763824,5.74409884452,2g$QZpOGbBUxSNx_ZgxG7q,0.391513744885,IfcWindow,0.068159298
3,1.2,0.467,1.935,7.183156,105.387763824,5.74409884448,2g$QZpOGbBUxSNx_ZgxG25,0.391513744883,IfcWindow,0.068159298
4,0.467,1.2,1.935,7.183156,105.387763824,5.74409884455,2g$QZpOGbBUxSNx_ZgxG1w,0.391513744887,IfcWindow,0.068159298
5,0.467,1.2,1.935,7.183156,105.387763824,5.74409884458,2g$QZpOGbBUxSNx_ZgxJ$f,0.391513744889,IfcWindow,0.068159298
6,0.467,1.2,1.935,7.183156,105.387763824,5.7440988445,2g$QZpOGbBUxSNx_ZgxJyK,0.391513744883,IfcWindow,0.068159298
7,0.467,1.2,1.935,7.183156,105.387763824,5.74409884459,2g$QZpOGbBUxSNx_ZgxJz3,0.39151374489,IfcWindow,0.068159298
8,1.2,0.467,1.935,7.183156,105.387763824,5.74409884457,2g$QZpOGbBUxSNx_ZgxJsp,0.391513744888,IfcWindow,0.068159298
9,0.467,1.2,1.935,7.183156,105.387763824,5.74409884455,2g$QZpOGbBUxSNx_ZgxJtw,0.391513744887,IfcWindow,0.068159298
10,0.467,1.2,1.935,7.183156,105.387763824,5.74409884456,2g$QZpOGbBUxSNx_ZgxJqZ,0.391513744888,IfcWindow,0.068159298
11,0.467,1.2,1.935,7.183156,105.387763824,5.74409884457,2g$QZpOGbBUxSNx_ZgxJrM,0.391513744888,IfcWindow,0.068159298
12,0.467,1.2,1.935,7.183156,105.387763824,5.74409884464,2g$QZpOGbBUxSNx_ZgxJoj,0.391513744893,IfcWindow,0.068159298
13,1.2,0.467,1.935,7.183156,105.387763824,5.74409884447,0otfaO0qPDAhynjJ6DmgWH,0.391513744882,IfcWindow,0.068159298
14,1.2,0.467,1.935,7.183156,105.387763824,5.74409884462,0otfaO0qPDAhynjJ6DmgdG,0.391513744892,IfcWindow,0.068159298
15,1.2,0.467,1.935,7.183156,105.387763824,5.74409884464,0otfaO0qPDAhynjJ6DmgaJ,0.391513744893,IfcWindow,0.068159298
16,1.2,0.467,1.935,7.183156,105.387763824,5.74409884462,0otfaO0qPDAhynjJ6DmghI,0.391513744892,IfcWindow,0.068159298
17,1.2,0.467,1.935,7.183156,105.387763824,5.74409884459,0otfaO0qPDAhynjJ6Dmgfp,0.39151374489,IfcWindow,0.068159298
18,1.2,0.467,1.935,7.183156,105.387763824,5.74409884462,0otfaO0qPDAhynjJ6DmgkM,0.391513744892,IfcWindow,0.068159298
19,1.2,0.467,1.935,7.183156,105.387763824,5.74409884454,0otfaO0qPDAhynjJ6Dmgjh,0.391513744886,IfcWindow,0.068159298
20,1.2,0.467,1.935,7.183156,105.387763824,5.74409884454,0otfaO0qPDAhynjJ6DmgIr,0.391513744886,IfcWindow,0.068159298
21,1.2,0.467,1.935,7.183156,105.387763824,5.74409884452,0otfaO0qPDAhynjJ6DmgH8,0.391513744885,IfcWindow,0.068159298
22,0.467,1.2,1.935,7.183156,105.387763824,5.74409884462,0otfaO0qPDAhynjJ6DmgGp,0.391513744892,IfcWindow,0.068159298
23,0.467,1.2,1.935,7.183156,105.387763824,5.74409884458,0otfaO0qPDAhynjJ6DmgMW,0.391513744889,IfcWindow,0.068159298
24,0.467,1.2,1.935,7.183156,105.387763824,5.74409884457,0otfaO0qPDAhynjJ6DmgKt,0.391513744889,IfcWindow,0.068159298
25,0.467,1.2,1.935,7.183156,105.387763824,5.74409884458,0otfaO0qPDAhynjJ6DmgQg,0.391513744889,IfcWindow,0.068159298
26,0.467,1.2,1.935,7.183156,105.387763824,5.74409884458,0otfaO0qPDAhynjJ6DmgOb,0.391513744889,IfcWindow,0.068159298
27,0.467,1.2,1.935,7.183156,105.387763824,5.74409884458,0otfaO0qPDAhynjJ6DmgUg,0.391513744889,IfcWindow,0.068159298
28,0.467,1.2,1.935,7.183156,105.387763824,5.74409884457,0otfaO0qPDAhynjJ6DmgTb,0.391513744889,IfcWindow,0.068159298
29,0.467,1.2,1.935,7.183156,105.387763824,5.74409884457,0otfaO0qPDAhynjJ6DmgSS,0.391513744889,IfcWindow,0.068159298
30,0.467,1.2,1.935,7.183156,105.387763824,5.74409884457,0otfaO0qPDAhynjJ6Dmg3B,0.391513744888,IfcWindow,0.068159298
31,1.2,0.467,1.935,7.183156,105.387763824,5.74409884456,0otfaO0qPDAhynjJ6Dmg2W,0.391513744888,IfcWindow,0.068159298
32,1.2,0.467,1.935,7.183156,105.387763824,5.74409884457,0otfaO0qPDAhynjJ6Dmg1N,0.391513744889,IfcWindow,0.068159298
33,1.2,0.467,1.935,7.183156,105.387763824,5.74409884456,0otfaO0qPDAhynjJ6Dmg0_,0.391513744888,IfcWindow,0.068159298
34,1.2,0.467,1.935,7.183156,105.387763824,5.74409884456,0otfaO0qPDAhynjJ6Dmg7t,0.391513744888,IfcWindow,0.068159298
35,1.2,0.467,1.935,7.183156,105.387763824,5.74409884457,0otfaO0qPDAhynjJ6Dmg6e,0.391513744888,IfcWindow,0.068159298
36,1.2,0.467,1.935,7.183156,105.387763824,5.74409884456,0otfaO0qPDAhynjJ6Dmg5J,0.391513744888,IfcWindow,0.068159298
37,1.2,0.467,1.935,7.183156,105.387763824,5.74409884455,0otfaO0qPDAhynjJ6Dmg4K,0.391513744887,IfcWindow,0.068159298
38,1.2,0.467,1.935,7.183156,105.387763824,5.74409884459,0otfaO0qPDAhynjJ6DmgB1,0.39151374489,IfcWindow,0.068159298
39,1.2,0.467,1.935,7.183156,105.387763824,5.74409884459,0otfaO0qPDAhynjJ6Dmg94,0.39151374489,IfcWindow,0.068159298
40,1.2,0.467,1.935,7.183156,105.387763824,5.74409884458,0otfaO0qPDAhynjJ6Dmg87,0.391513744889,IfcWindow,0.068159298
41,1.2,0.467,1.935,7.183156,105.387763824,5.74409884445,0otfaO0qPDAhynjJ6Dmg8s,0.39151374488,IfcWindow,0.068159298
42,0.467,1.2,1.935,7.183156,105.387763824,5.74409884459,0otfaO0qPDAhynjJ6DmgFZ,0.39151374489,IfcWindow,0.068159298
43,0.467,1.2,1.935,7.183156,105.387763824,5.74409884447,0otfaO0qPDAhynjJ6DmgEk,0.391513744882,IfcWindow,0.068159298
44,0.467,1.2,1.935,7.183156,105.387763824,5.74409884455,0otfaO0qPDAhynjJ6DmgDl,0.391513744887,IfcWindow,0.068159298
45,0.467,1.2,1.935,7.183156,105.387763824,5.74409884459,0otfaO0qPDAhynjJ6DmgC_,0.39151374489,IfcWindow,0.068159298
46,0.467,1.2,1.935,7.183156,105.387763824,5.74409884446,0otfaO0qPDAhynjJ6DnLsa,0.391513744881,IfcWindow,0.068159298
47,1.2,0.467,1.935,7.183156,105.387763824,5.74409884452,0otfaO0qPDAhynjJ6DnLrq,0.391513744885,IfcWindow,0.068159298
