,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,0.617,3.0,2.61,23.751856,107.088435349,4.57987980965,1l0GAJtRTFv8$zmKJOH4pU,1.01580199002,IfcWindow,0.221796648
1,0.617,3.0,2.61,23.751856,107.088435349,4.57987980965,1l0GAJtRTFv8$zmKJOH4$e,1.01580199002,IfcWindow,0.221796648
2,1.019,0.617,0.959,4.249626,87.2129978094,6.78922303963,1hOSvn6df7F8_7GcBWlS2V,0.330818335268,IfcWindow,0.04872698
3,1.019,0.617,0.959,4.249626,87.2129978094,6.78922303964,1hOSvn6df7F8_7GcBWlSga,0.330818335268,IfcWindow,0.04872698
4,0.617,0.95,2.4,9.044896,91.6643857562,3.36975694694,1hOSvn6df7F8_7GcBWlRRL,0.332507558731,IfcWindow,0.098674048
5,0.617,0.95,2.4,9.044896,91.6643857562,3.36975694694,1hOSvn6df7F8_7GcBWlRLx,0.332507558731,IfcWindow,0.098674048
6,5.035,0.617,2.62,37.739076,111.891593023,4.86268470153,1hOSvn6df7F8_7GcBWlR72,1.64009844312,IfcWindow,0.337282498
7,0.617,0.95,2.4,9.044896,91.6643857562,3.36975694694,1l0GAJtRTFv8$zmKJOH4ZZ,0.332507558731,IfcWindow,0.098674048
8,0.617,0.95,2.4,9.044896,91.6643857562,3.36975694695,1l0GAJtRTFv8$zmKJOH4aS,0.332507558731,IfcWindow,0.098674048
9,0.617,1.019,0.959,4.249626,87.2129978094,6.78922303963,1l0GAJtRTFv8$zmKJOH4hv,0.330818335268,IfcWindow,0.04872698
10,3.0,0.617,2.61,23.751856,107.088435349,4.57987980965,1hOSvn6df7F8_7GcBWlSXO,1.01580199002,IfcWindow,0.221796648
11,3.0,0.617,2.61,23.751856,107.088435349,4.57987980965,1hOSvn6df7F8_7GcBWlS_W,1.01580199002,IfcWindow,0.221796648
12,5.035,0.617,2.62,37.739076,111.891593023,4.86268470153,1hOSvn6df7F8_7GcBWlRBU,1.64009844312,IfcWindow,0.337282498
13,0.617,1.019,0.959,4.249626,87.2129978094,6.78922303964,1l0GAJtRTFv8$zmKJOH4qs,0.330818335268,IfcWindow,0.04872698
14,1.37253768297,1.42453768297,0.3778,5.45822501372,129.960266319,14.5410330778,1Eo2$BaHX42AEkDvQQDocD,0.610711509895,IfcWindow,0.0419991830449
15,0.617,1.019,0.959,4.249626,87.2129978094,6.78922303963,1l0GAJtRTFv8$zmKJOH4kJ,0.330818335268,IfcWindow,0.04872698
16,1.37253768297,1.42453768297,0.3778,5.45822501372,129.960266319,14.5410330778,1Eo2$BaHX42AEkDvQQDoy2,0.610711509895,IfcWindow,0.0419991830449
17,1.019,0.617,0.959,4.25305924,87.0435427803,6.76041699953,1hOSvn6df7F8_7GcBWlSp1,0.330322653096,IfcWindow,0.0488612837225
18,0.617,1.019,0.959,4.25305924,87.0435427803,6.76041699952,1l0GAJtRTFv8$zmKJOH4oq,0.330322653096,IfcWindow,0.0488612837225
19,0.617,1.019,0.959,4.25305924,87.0435427803,6.76041699953,1l0GAJtRTFv8$zmKJOH4gQ,0.330322653096,IfcWindow,0.0488612837225
20,0.617,1.019,0.959,4.249626,87.2129978094,6.78922303964,1l0GAJtRTFv8$zmKJOH4u1,0.330818335268,IfcWindow,0.04872698
21,1.019,0.617,0.959,4.249626,87.2129978094,6.78922303965,1hOSvn6df7F8_7GcBWlS4Q,0.330818335269,IfcWindow,0.04872698
22,1.019,0.617,0.959,4.249626,87.2129978094,6.78922303964,1hOSvn6df7F8_7GcBWlSnC,0.330818335268,IfcWindow,0.04872698
23,1.019,0.617,0.959,4.25305924,87.0435427803,6.76041699953,1hOSvn6df7F8_7GcBWlS1M,0.330322653097,IfcWindow,0.0488612837225
