,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,1.2,0.32,0.825,2.2715,80.1941747573,12.0786348104,3XAmjDLYrE_9uZwmC1hFxe,0.342127331005,IfcWindow,0.028325
1,0.95,0.32,0.825,1.784,77.5230852797,11.3844356464,1_90YXbZDAKA_u7Z36qQe_,0.261984325313,IfcWindow,0.0230125
2,1.2,0.32,0.825,2.2715,80.1941747573,12.0786348104,0xYqOk0Sf4jPKywvhPpOSB,0.342127331005,IfcWindow,0.028325
3,0.95,0.32,0.825,1.784,77.5230852797,11.3844356465,2Z$bhUvXvB0eC0sh$4Wc5y,0.261984325315,IfcWindow,0.0230125
4,1.2,0.32,0.825,2.2715,80.1941747573,12.0786348104,1ZAn9yRZj7EAVstuwcZV7M,0.342127331005,IfcWindow,0.028325
5,0.95,0.32,0.825,1.784,77.5230852797,11.3844356465,3B42tgnPT4YPguPNio8Neo,0.261984325314,IfcWindow,0.0230125
6,1.2,0.32,0.825,2.2715,80.1941747573,12.0786348104,2XMhby0h13fBBJP1ZK$H04,0.342127331005,IfcWindow,0.028325
7,0.95,0.32,0.825,1.784,77.5230852797,11.3844356464,1e8IKHqkbCER6lN5_kMoH5,0.261984325314,IfcWindow,0.0230125
8,1.2,0.32,0.825,2.2715,80.1941747573,12.0786348104,2w0JgsbVrF_h9NIy9zJqq2,0.342127331005,IfcWindow,0.028325
9,0.95,0.32,0.825,1.784,77.5230852797,11.3844356464,14a_vuUkr9Aug0F5XZL1r9,0.261984325314,IfcWindow,0.0230125
10,1.415,0.32,1.68,5.3669,95.6547311387,7.87914271443,0Em$KsiYn4c9RYp9aqMd7M,0.442075060279,IfcWindow,0.056107
11,0.95,0.32,1.18,2.565,82.7419354839,8.81912895765,1ecjPdXmv1k8mMW9IVwviV,0.273392997687,IfcWindow,0.031
12,1.415,0.32,1.68,5.3669,95.6547311387,7.87914271441,102hFfQGDEOBE7V8g0mC8W,0.442075060278,IfcWindow,0.056107
13,1.415,0.32,1.68,5.3669,95.6547311387,7.87914271442,08r4_f05L5auzD4X$ClcAw,0.442075060278,IfcWindow,0.056107
14,1.415,0.32,1.68,5.3669,95.6547311387,7.87914271442,3h2oPIyc5CZBrXnvEqeG_P,0.442075060278,IfcWindow,0.056107
15,1.415,0.32,1.68,5.3669,95.6547311387,7.87914271442,25Lx$wIdHFAhVEMjnrwrs9,0.442075060278,IfcWindow,0.056107
16,0.95,0.32,1.18,2.565,82.7419354839,8.81912895756,3FQVPSydHDKO1C1ghFW_N5,0.273392997684,IfcWindow,0.031
17,0.95,0.32,1.18,2.565,82.7419354839,8.81912895756,2cw31c83rEwwUQAXLrLyoi,0.273392997684,IfcWindow,0.031
18,0.95,0.32,1.18,2.565,82.7419354839,8.81912895757,3wXp5YXGP6tfEj9QG9WwCj,0.273392997685,IfcWindow,0.031
19,0.95,0.32,1.18,2.565,82.7419354839,8.81912895756,1pgH2UbyLCSAqMChvlRTgP,0.273392997684,IfcWindow,0.031
